cpu_percentage,memory,memory_percentage,received,transmitted
0.011304347826086957,934768640,22.65842729873103,3403,1737
19.563746630727763,1052262400,25.506430221694465,4786,1877
27.3531843575419,1305833472,31.652894121011084,4786,1877
26.479920634920635,1468821504,35.60366045570033,4786,1877
25.25459798994975,1623887872,39.362408744267505,4786,1877
26.550434782608693,1700937728,41.23006720631614,17514,90193
26.16489847715736,1744969728,42.29738571500908,18438,137962
24.315240506329115,1748398080,42.38048763052312,32291,249387
25.50272727272727,1752952832,42.49089304277118,34886,286207
25.97861809045226,1753251840,42.49814088008602,41732,305198
24.01287153652393,1774333952,43.00916305350393,41732,305198
26.62041343669251,1804738560,43.74615889443674,66874,450188
25.999690721649483,1834954752,44.478587605006766,93737,732276
24.79548223350254,1865486336,45.21866129466232,101177,759079
25.210126262626265,1916510208,46.45546005399142,106029,773361
25.88612565445026,1948274688,47.22541866189037,150553,1204054
25.50165413533835,2012078080,48.77198800234711,155138,1234677
25.272102564102568,2062663680,49.99816321931062,175874,1343588
25.50765625,2093584384,50.747669026019736,211866,1677159
25.02325,2140975104,51.89640159770135,211866,1677159
25.177302798982186,2189168640,53.06459411614609,231899,1753540
25.30837209302326,2233470976,54.138465464055194,269118,2079898
26.01260759493671,2296160256,55.658029164105926,275835,2110168
24.447722513089005,2342354944,56.77777038652816,323934,2470978
25.47903307888041,2389934080,57.93107008857255,332718,2506136
25.59255936675462,2437038080,59.07285267926732,382648,2878922
25.57030848329049,2508324864,60.800816523480506,400030,2934882
25.086796875,2558361600,62.01368749112637,442292,3276816
25.185750636132315,2631798784,63.79377619274085,455341,3336111
25.63947229551451,2684223488,65.06453057346279,497590,3642678
25.03035623409669,2740199424,66.42136543297885,511755,3703513
25.620785340314136,2805850112,68.01271250807936,555748,4097817
26.795394402035623,2845114368,68.96446276150544,562994,4122865
24.03701530612245,2845118464,68.96456204694812,590534,4221291
25.658251928020565,2845245440,68.96763989567086,621444,4469699
25.818368421052636,2845966336,68.98511413358062,673933,4809363
24.742584856396867,2846044160,68.98700055699133,720690,5124063
25.33321518987342,2846027776,68.98660341522066,734560,5233115
25.410968586387433,2833915904,68.6930163612481,784674,5606653
24.93671755725191,2833920000,68.69311564669076,798164,5638483
25.751335078534034,2834264064,68.70145562387498,842340,5982915
25.325538847117794,2834259968,68.7013563384323,849517,6005629
