query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus
1;16;0;0;NaN;NaN;NaN;15;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN
2;81;0;0;NaN;NaN;NaN;143;0;0;NaN;NaN;NaN;8;0;0;NaN;NaN;NaN;8;0;0;NaN;NaN;NaN
3;16;0;0;NaN;NaN;NaN;20;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN
4;18;0;0;NaN;NaN;NaN;28;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN
5;482;0;0;NaN;NaN;NaN;903;0;0;NaN;NaN;NaN;12;0;0;NaN;NaN;NaN;8;0;0;NaN;NaN;NaN
6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
7;154;0;0;NaN;NaN;NaN;64;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN
8;262;0;0;NaN;NaN;NaN;57;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN
9;27;0;0;NaN;NaN;NaN;7;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN
10;46;0;0;NaN;NaN;NaN;130;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN
11;7;0;0;NaN;NaN;NaN;8;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN
12;13;0;0;NaN;NaN;NaN;17;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN
