query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus;7-mean;7-minus;7-plus;7-first-mean;7-first-minus;7-first-plus
F1;26.6;4.600000000000001;9.399999999999999;16;1;1;26.2;6.199999999999999;6.800000000000001;21.666666666666668;1.6666666666666679;2.333333333333332;24.2;5.199999999999999;9.8;21.666666666666668;3.666666666666668;6.333333333333332;34;14;18;32.333333333333336;10.333333333333336;7.666666666666664;13.2;4.199999999999999;15.8;NaN;NaN;NaN;6;1;1;6;1;1;8;1;1;8.333333333333334;0.3333333333333339;0.6666666666666661;29.4;3.3999999999999986;5.600000000000001;29.666666666666668;3.666666666666668;4.333333333333332
F2;22.8;15.8;29.2;47;NaN;NaN;14.6;7.6;12.4;15;NaN;NaN;25.8;5.800000000000001;9.2;35;NaN;NaN;39.8;19.799999999999997;15.200000000000003;34;NaN;NaN;13.6;4.6;13.4;NaN;NaN;NaN;12.8;0.8000000000000007;1.1999999999999993;14;NaN;NaN;3.4;1.4;2.6;6;NaN;NaN;69;3;2;68;NaN;NaN
F3;80.4;71.4;89.6;82.5;11.5;11.5;27.6;15.600000000000001;10.399999999999999;14;5;5;25;6;6;23.5;4.5;4.5;37.2;17.200000000000003;17.799999999999997;45;5;5;16;8;12;NaN;NaN;NaN;5.4;1.4000000000000004;0.5999999999999996;5.5;0.5;0.5;4.6;1.5999999999999996;2.4000000000000004;6;NaN;NaN;36;3;2;37;NaN;NaN
F4;41.8;7.799999999999997;8.200000000000003;28;NaN;NaN;33.4;10.399999999999999;20.6;21;NaN;NaN;25.8;6.800000000000001;13.2;38;NaN;NaN;41.8;2.799999999999997;4.200000000000003;40;NaN;NaN;24.2;16.2;24.8;NaN;NaN;NaN;37.6;1.6000000000000014;2.3999999999999986;39;NaN;NaN;5.2;0.20000000000000018;0.7999999999999998;5;NaN;NaN;125.2;5.200000000000003;4.799999999999997;129;NaN;NaN
F5;228.6;182.6;372.4;12.4;1.4000000000000004;2.5999999999999996;136;101;97;19.2;11.2;20.8;36.4;16.4;13.600000000000001;34;15;14;48.4;22.4;33.6;42;17;21;15.4;7.4;11.6;NaN;NaN;NaN;11;4;5;8.8;2.8000000000000007;3.1999999999999993;13.2;7.199999999999999;5.800000000000001;7;2;1;42;7;5;39.2;5.200000000000003;3.799999999999997
L1;22.6;7.600000000000001;4.399999999999999;11;4;2;35.4;22.4;25.6;19.4;10.399999999999999;17.6;26.8;9.8;16.2;26.4;9.399999999999999;16.6;28.2;7.199999999999999;12.8;27.8;6.800000000000001;12.2;24.8;15.8;14.2;NaN;NaN;NaN;4;0;0;4;NaN;NaN;4;1;2;3.8;0.7999999999999998;1.2000000000000002;19.2;2.1999999999999993;2.8000000000000007;18.6;2.6000000000000014;2.3999999999999986
L2;7.6;0.5999999999999996;1.4000000000000004;5.666666666666667;0.666666666666667;0.33333333333333304;8.6;1.5999999999999996;4.4;5.666666666666667;0.666666666666667;0.33333333333333304;24.2;5.199999999999999;12.8;21.333333333333332;1.3333333333333321;1.6666666666666679;19.6;2.6000000000000014;5.399999999999999;21;2;3;22.2;16.2;22.8;NaN;NaN;NaN;4.4;0.40000000000000036;1.5999999999999996;4;1;2;3;0;0;3;NaN;NaN;13;2;3;13;2;3
L3;10.4;1.4000000000000004;2.5999999999999996;4.6;0.5999999999999996;1.4000000000000004;13.8;5.800000000000001;11.2;6;2;7;25.8;7.800000000000001;9.2;24.6;6.600000000000001;9.399999999999999;21.4;1.3999999999999986;1.6000000000000014;20.6;1.6000000000000014;1.3999999999999986;17;10;20;NaN;NaN;NaN;5.2;1.2000000000000002;1.7999999999999998;4.6;1.5999999999999996;1.4000000000000004;3.4;0.3999999999999999;0.6000000000000001;3.2;0.20000000000000018;0.7999999999999998;15.6;1.5999999999999996;2.4000000000000004;14.8;0.8000000000000007;1.1999999999999993
L4;5.2;0.20000000000000018;0.7999999999999998;4.2;0.20000000000000018;0.7999999999999998;8;1;4;6;1;4;26;7;6;25.4;7.399999999999999;5.600000000000001;22.4;3.3999999999999986;11.600000000000001;21.8;2.8000000000000007;11.2;10.2;3.1999999999999993;11.8;NaN;NaN;NaN;3.6;0.6000000000000001;0.3999999999999999;3;NaN;NaN;3.8;0.7999999999999998;0.20000000000000018;3.8;0.7999999999999998;0.20000000000000018;12.4;1.4000000000000004;0.5999999999999996;12.2;1.1999999999999993;0.8000000000000007
L5;10.6;3.5999999999999996;14.4;5.666666666666667;0.666666666666667;0.33333333333333304;10.4;1.4000000000000004;1.5999999999999996;8.333333333333334;1.333333333333334;2.666666666666666;25.4;8.399999999999999;11.600000000000001;24;7;13;28.6;6.600000000000001;6.399999999999999;30.666666666666668;2.666666666666668;4.333333333333332;14.4;7.4;12.6;NaN;NaN;NaN;4;0;0;4;NaN;NaN;3.4;0.3999999999999999;0.6000000000000001;3.6666666666666665;0.6666666666666665;0.3333333333333335;18.4;2.3999999999999986;2.6000000000000014;18.666666666666668;1.6666666666666679;2.333333333333332
S1;90;24;27;43;28;28;88.4;11.400000000000006;8.599999999999994;27.25;13.25;25.75;24.8;4.800000000000001;9.2;25;3;8;35.6;14.600000000000001;15.399999999999999;38;13;12;10;2;2;NaN;NaN;NaN;228;15;21;231;18;17;17.2;1.1999999999999993;1.8000000000000007;16.75;1.75;2.25;213.8;4.800000000000011;4.199999999999989;213.75;4.75;4.25
S2;11.6;0.5999999999999996;1.4000000000000004;7.8;1.7999999999999998;3.2;13.6;3.5999999999999996;6.4;9.2;3.1999999999999993;5.800000000000001;20.2;2.1999999999999993;1.8000000000000007;20.2;2.1999999999999993;1.8000000000000007;20.6;0.6000000000000014;1.3999999999999986;20.2;1.1999999999999993;1.8000000000000007;22.2;15.2;24.8;NaN;NaN;NaN;4.8;0.7999999999999998;0.20000000000000018;4.6;1.5999999999999996;0.40000000000000036;3;0;0;3;NaN;NaN;21;2;1;20.2;1.1999999999999993;1.8000000000000007
S3;45;11;13;NaN;NaN;NaN;53.6;22.6;16.4;NaN;NaN;NaN;50.6;32.6;98.4;NaN;NaN;NaN;20.8;2.8000000000000007;11.2;NaN;NaN;NaN;20.6;13.600000000000001;5.399999999999999;NaN;NaN;NaN;4.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;8;2;2;NaN;NaN;NaN;23;4;4;NaN;NaN;NaN
S4;37.2;9.200000000000003;9.799999999999997;NaN;NaN;NaN;49.2;12.200000000000003;12.799999999999997;NaN;NaN;NaN;21.6;2.6000000000000014;9.399999999999999;NaN;NaN;NaN;26.4;8.399999999999999;15.600000000000001;NaN;NaN;NaN;10.4;4.4;14.6;NaN;NaN;NaN;4.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;9.6;5.6;15.4;NaN;NaN;NaN;18.2;1.1999999999999993;2.8000000000000007;NaN;NaN;NaN
S5;6;0;0;NaN;NaN;NaN;6.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;18.4;1.3999999999999986;1.6000000000000014;NaN;NaN;NaN;19.2;1.1999999999999993;4.800000000000001;NaN;NaN;NaN;11.6;4.6;8.4;NaN;NaN;NaN;4.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;6.8;0.7999999999999998;0.20000000000000018;NaN;NaN;NaN;17.2;2.1999999999999993;1.8000000000000007;NaN;NaN;NaN
S6;10.8;6.800000000000001;18.2;18.5;10.5;10.5;6.6;2.5999999999999996;1.4000000000000004;6;NaN;NaN;17.8;0.8000000000000007;1.1999999999999993;17.5;0.5;0.5;22;5;15;18.5;0.5;0.5;14.4;7.4;13.6;NaN;NaN;NaN;3.8;0.7999999999999998;0.20000000000000018;3.5;0.5;0.5;2.2;0.20000000000000018;0.7999999999999998;2.5;0.5;0.5;18.6;3.6000000000000014;2.3999999999999986;16.5;2.5;2.5
S7;4.4;0.40000000000000036;0.5999999999999996;5;NaN;NaN;4.4;0.40000000000000036;0.5999999999999996;4.5;0.5;0.5;22.8;5.800000000000001;14.2;29;7;7;26.4;9.399999999999999;9.600000000000001;30;2;2;12.6;6.6;10.4;NaN;NaN;NaN;3.4;0.3999999999999999;0.6000000000000001;3.5;0.5;0.5;2;0;0;2;NaN;NaN;17.6;1.6000000000000014;1.3999999999999986;18;1;1
